Title,Instructor,Status,Progress,Priority,Tags,
Create a PHP Login and Registration System From Scratch 2020,Kalob Taulien,Not Started,,Low,"{'System', 'Scratch', 'Login', 'Registration', '2020', 'Create'}",
"Javascript Crash Course: Go From Zero to Basics, Dom and OOP",Nikoloz Sanakoevi,Not Started,,Low,"{'Basics', 'JavaScript', 'Course', 'Crash', 'Zero'}",
Android Beginners Guide To Create A Weather Forecast App,Zakaria Chowdhury,Not Started,,Low,"{'Beginners', 'Weather', 'Forecast', 'Create', 'Guide', 'Android'}",
The complete Javascript ES6 course.,Coding Revolution,Not Started,,Low,"{'Course', 'JavaScript', 'Complete'}",
"C, C++, Python and Ruby Programming",Doedu education,Not Started,,High,"{'Python', 'Ruby', 'Programming'}",
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",Irfan Dayan,Not Started,,Low,"{'Bootstrap', 'Html5', 'Css3', 'Website', 'Using', 'Responsive', 'Build'}",
Build 7 Useful Python Beginner Projects from Scratch,Bluelime Learning Solutions,Not Started,,High,"{'Beginner', 'Scratch', 'Projects', 'Python', 'Useful', 'Build'}",
Introduction to jQuery Web Development,Laurence Svekis,Not Started,,Medium,"{'Introduction', 'Web Development', 'Jquery', 'Development'}",
Get started Creating Websites Everything you need provided,Laurence Svekis,Not Started,,Low,"{'Everything', 'Need', 'Provided', 'Started', 'Creating', 'Websites'}",
Laravel for beginners bootcamp - Become a Master Developer!,Dave Partner,Not Started,,Low,"{'Bootcamp', 'Master', 'Laravel', 'Beginners', 'Become', 'Developer'}",
JavaScript Memory Game coding project,Laurence Svekis,Not Started,,Low,"{'Project', 'Coding', 'JavaScript', 'Game'}",
Be A Pro Blogger! The Complete Steemit Cryptocurrency Course,"Joe Parys, Joe Parys Support",Not Started,,Low,"{'Cryptocurrency', 'Blogger', 'Complete', 'Course', 'Steemit'}",
Learn Photoshop from an Expert Designer,Lindsay Marsh,Not Started,,Low,"{'Designer', 'Learn', 'Photoshop', 'Expert'}",
Photoshop Beginners Mastery: Zero to Hero in Photoshop,"Chad Neuman, Ph.D.",Not Started,,Low,"{'Photoshop', 'Beginners', 'Zero', 'Mastery', 'Hero'}",
JavaScript Deep Dive: Explore JS (For Beginners-to-Advanced),"AkaSkills! 35,000+ Students",Not Started,,Low,"{'Advanced', 'Deep', 'JavaScript', 'Beginners', 'Dive'}",
How To Setup Your First WordPress Site In Less Than 4 Hours!,"James Yorke, Hayley Harman",Not Started,,Low,"{'First', 'Wordpress', 'Site', 'Hours', 'Setup', 'Less'}",
PHP Essential How to create build Amazing websites with PHP,Laurence Svekis,Not Started,,Low,"{'Create', 'Essential', 'Websites', 'Amazing', 'Build'}",
Angular 2+ with Typescript - Essential Training,Patrick Schroeder,Not Started,,Low,"{'Essential', 'Training', 'Angular', 'Typescript'}",
The Complete iOS11 Swift4 Development Course - Build 28 Apps,Dee Aliyu Odumosu,Not Started,,Low,"{'Complete', 'Course', 'Ios11', 'Development', 'Swift4', 'Build', 'Apps'}",
Complete Excel Mastery: Microsoft Excel Beginner to Advanced,Steve McDonald,Not Started,,Low,"{'Advanced', 'Beginner', 'Excel', 'Microsoft', 'Complete', 'Mastery'}",
Introductory To JavaScript - Learn The Basics of JavaScript,Robin Haney,Not Started,,Low,"{'Basics', 'JavaScript', 'Learn'}",
HTML: The first step for absolute beginners,Bahjat For Education,Not Started,,Low,"{'First', 'Absolute', 'Beginners', 'Html', 'Step'}",
The Ultimate HTML Developer 2020 Edition,Kalob Taulien,Not Started,,Low,"{'Ultimate', 'Html', '2020', 'Edition', 'Developer'}",
Bootstrap 4: Create a landing page,Jeppe Schaumburg Jensen,Not Started,,Low,"{'Page', 'Create', 'Bootstrap', 'Landing'}",
Learn Linux Command Line - Build Your Confidence on Linux!,Joby Joseph,Not Started,,Low,"{'Line', 'Linux', 'Confidence', 'Learn', 'Command', 'Build'}",
Blogging For Beginners: Start a Blog Discover Passive Income,"OMG - Mastermind, Kareem Mostafa",Not Started,,Low,"{'Passive', 'Beginners', 'Discover', 'Blogging', 'Income', 'Start', 'Blog'}",
Basics of 3D Graphics with Blender 2.7x,Brian Ericson,Not Started,,Low,"{'Blender', 'Graphics', 'Basics'}",
Create a professional forum for your business using wix,Learn App Inventor 2,Not Started,,Low,"{'Professional', 'Business', 'Forum', 'Using', 'Create'}",
Practice Java by Building Projects,Tim Short,Not Started,,Low,"{'Projects', 'Building', 'Java', 'Practice'}",
Sell Website In Flippa + FREE Software,Rufeena Jones S,Not Started,,Low,"{'Software', 'Website', 'Sell', 'Flippa', 'Free'}",
Complete Bootstrap course with responsive website design,"Programming Geeks, Gstevewall Academy",Not Started,,Low,"{'Bootstrap', 'Complete', 'Course', 'Website', 'Responsive', 'Design'}",
Code a 'Coming Soon' Landing Page in Bootstrap 4,Andy Clarke,Not Started,,Low,"{'Code', 'Bootstrap', 'Coming', 'Page', 'Landing', 'Soon'}",
How To Make a Wordpress Website -Elementor Page Builder,Darrel Wilson,Not Started,,Low,"{'Wordpress', 'Website', 'Builder', 'Page', 'Elementor', 'Make'}",
Learn to Build Websites using Twitter Bootstrap,"Eduonix Learning Solutions, Eduonix-Tech .",Not Started,,Low,"{'Twitter', 'Bootstrap', 'Using', 'Learn', 'Websites', 'Build'}",
How To Create A Website using WordPress (Step by Step),Martie (Let's Build WordPress),Not Started,,Low,"{'Wordpress', 'Website', 'Using', 'Step', 'Create'}",
How To Build a Stunning Website with WordPress in 70 Minutes,WebsiteWizard.tv .,Not Started,,Low,"{'Wordpress', 'Website', 'Minutes', 'Stunning', 'Build'}",
Learn React Building A News App from Scratch to Deployment,Ryan Dhungel,Not Started,,Low,"{'Scratch', 'React', 'News', 'Learn', 'Building', 'Deployment'}",
The Complete Marketing Automation System Using Optimizepress,Mike Dickson,Not Started,,Low,"{'System', 'Complete', 'Marketing', 'Using', 'Automation'}",
Write quicker HTML5 and CSS 3, productivity hacks with emmet,https://www.udemy.com/course/write-quicker-html5-and-css-3-productivity-hacks-with-emmet/learn/,Not Started,,Low,"{'Html5', 'Emmet', 'Quicker', 'Hacks', 'Write', 'Productivity'}"
Build Your First Website in 1 Week with HTML5 and CSS3,Ryan Bonhardt,Not Started,,Low,"{'First', 'Html5', 'Css3', 'Website', 'Week', 'Build'}",
C++ Development Tutorial Series - The Complete Coding Guide,Frahaan Hussain,Not Started,,Low,"{'Coding', 'Complete', 'Series', 'Development', 'Tutorial', 'Guide'}",
Generate 3D Facial Animations: Motion Capture for Everyone,Reallusion Inc,Not Started,,Low,"{'Capture', 'Everyone', 'Facial', 'Animations', 'Motion', 'Generate'}",
Complete Human Figure Anatomy Drawing Course HD,Riven Phoenix,Not Started,,Low,"{'Complete', 'Anatomy', 'Course', 'Figure', 'Human', 'Drawing'}",
Blender Character Modeling For Beginners HD,Riven Phoenix,Not Started,,Low,"{'Modeling', 'Blender', 'Beginners', 'Character'}",
